playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
brackgi01,1938,2,PHI,NL,72,72,282,40,81,20,4,4,28,2,,18,30,,1,1,,5,72,Gilbert Herman
brackgi01,1939,1,PHI,NL,91,91,270,40,78,21,4,6,41,1,,26,49,,0,4,,4,91,Gilbert Herman
brackjo01,1904,1,PHI,NL,7,7,13,0,2,0,0,0,1,1,,1,,,0,0,,,7,John Givler
bradfbi01,1956,1,KC1,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,William D.
bradfla01,1977,1,ATL,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Larry
bradfla01,1979,1,ATL,NL,21,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,Larry
bradfla01,1980,1,ATL,NL,56,56,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,56,Larry
bradfla01,1981,1,ATL,NL,25,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Larry
bradlfo01,1876,1,BSN,NL,22,22,82,12,19,2,1,0,8,,,2,3,,,,,,22,George H.
bradlge01,1881,1,DTN,NL,1,1,4,0,0,0,0,0,0,,,0,0,,,,,,1,George Washington
bradlma01,1981,1,LAN,NL,9,9,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,Mark Allen
bradlma01,1982,1,LAN,NL,8,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Mark Allen
bradlmi01,2004,1,LAN,NL,141,141,516,72,138,24,0,19,67,15,11,71,123,3,6,3,1,12,141,Milton Obelle
bradlmi01,2005,1,LAN,NL,75,75,283,49,82,14,1,13,38,6,1,25,47,1,2,4,1,6,75,Milton Obelle
bradlmi01,2008,1,TEX,AL,126,126,414,78,133,32,1,22,77,5,3,80,112,13,9,0,6,10,126,Milton Obelle
bradlph01,1988,1,PHI,NL,154,154,569,77,150,30,5,11,56,11,9,54,106,0,16,3,6,11,154,Philip Poole
bradybi01,1912,1,BSN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,William Aloysius
bradybo01,1946,1,BSN,NL,3,3,5,0,1,0,0,0,0,0,,1,1,,0,0,,0,3,Robert Jay
bradybo01,1947,1,BSN,NL,1,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,1,Robert Jay
bradyki01,1905,1,PHI,NL,2,2,5,0,1,0,0,0,0,0,,0,,,0,0,,,2,James Ward
bradyki01,1912,1,BSN,NL,1,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,,1,James Ward
bradyst01,1883,1,NY4,AA,97,97,432,69,117,12,6,0,0,0,,11,,,,,,,97,Stephen A.
bradyst01,1884,1,NY4,AA,112,112,485,102,122,11,3,1,0,0,,21,,,0,,,,112,Stephen A.
bradyst01,1885,1,NY4,AA,108,108,434,60,128,14,5,3,58,0,,25,,,6,,,,108,Stephen A.
bradyst01,1886,1,NY4,AA,124,124,466,56,112,8,5,0,39,16,,35,,,3,,,,124,Stephen A.
bragabo01,1940,1,PHI,NL,132,132,474,36,105,14,1,7,44,2,,28,34,,0,2,,10,132,Robert Randall
bragabo01,1941,1,PHI,NL,154,154,557,37,140,19,3,4,69,7,,26,29,,0,14,,17,154,Robert Randall
bragabo01,1942,1,PHI,NL,109,109,335,17,73,12,2,2,15,0,,20,21,,1,7,,10,109,Robert Randall
braggda01,2002,1,ATL,NL,109,109,212,34,57,15,2,3,15,5,2,24,52,0,2,1,1,4,109,Darren William
braggda01,2003,1,ATL,NL,104,104,162,21,39,5,1,0,9,2,1,13,38,1,2,4,0,1,104,Darren William
brainas01,1873,1,BL1,NA,16,16,69,18,18,1,0,0,8,0,0,0,2,,,,,,16,Asahel
brainas01,1874,1,BL1,NA,47,47,196,19,47,3,0,0,8,0,3,2,3,,,,,,47,Asahel
brainda01,1906,1,BSN,NL,139,139,525,43,131,19,5,5,45,11,,29,,,3,17,,,139,David Leonard
brainda01,1907,1,BSN,NL,133,133,509,60,142,24,9,10,56,10,,29,,,5,9,,,133,David Leonard
bramhar01,1935,1,PHI,NL,2,2,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,2,Arthur Washington
brandbu01,1971,1,PHI,NL,52,52,13,0,2,0,0,0,0,0,0,0,7,0,0,2,0,0,52,Darrell G.
brandbu01,1972,1,PHI,NL,42,42,15,0,1,0,0,0,0,0,0,0,8,0,0,4,0,1,42,Darrell G.
brandbu01,1973,1,PHI,NL,36,36,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,36,Darrell G.
branded01,1928,1,BSN,NL,39,39,70,5,17,4,0,0,3,0,,9,12,,0,3,,,39,Edward Arthur
branded01,1929,1,BSN,NL,29,29,64,7,15,4,0,0,5,0,,4,6,,0,3,,,29,Edward Arthur
branded01,1930,1,BSN,NL,41,41,50,3,12,2,1,0,4,0,,2,10,,0,1,,,41,Edward Arthur
branded01,1931,1,BSN,NL,34,34,82,11,21,0,1,0,8,1,,9,5,,0,7,,,34,Edward Arthur
branded01,1932,1,BSN,NL,35,35,92,9,19,1,0,0,11,0,,2,6,,0,5,,,35,Edward Arthur
branded01,1933,1,BSN,NL,47,47,97,9,30,4,0,0,6,0,,4,7,,0,4,,1,47,Edward Arthur
branded01,1934,1,BSN,NL,48,48,96,14,23,1,2,0,9,0,,6,7,,0,2,,3,48,Edward Arthur
branded01,1935,1,BSN,NL,31,31,62,5,13,0,0,0,2,0,,1,3,,0,0,,1,31,Edward Arthur
brandja01,1966,1,PHI,NL,82,82,164,16,41,6,1,1,15,0,2,17,36,2,0,4,2,4,82,John George
brandja01,1967,1,PHI,NL,16,16,19,1,2,1,0,0,1,0,0,0,6,0,0,0,0,0,16,John George
brandma01,1995,1,TEX,AL,11,0,,,,,,,,,,,,,,,,,11,Mark Clay
brandma01,1996,1,TEX,AL,26,0,,,,,,,,,,,,,,,,,26,Mark Clay
brannmi01,1871,1,CH1,NA,3,3,14,2,1,0,0,0,0,0,0,0,0,,,,,,3,Michael J.
bransje01,2000,1,LAN,NL,18,18,17,3,4,1,0,0,0,0,0,1,6,0,0,0,0,1,18,Jeffery Glenn
bransje01,2001,1,LAN,NL,13,13,21,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,13,Jeffery Glenn
branski01,1898,1,BSN,NL,5,5,9,2,2,0,1,0,1,0,,0,,,0,0,,,5,William Edward
branski01,1905,1,PHI,NL,151,151,580,55,150,23,9,3,76,27,,27,,,2,18,,,151,William Edward
branski01,1906,1,PHI,NL,140,140,524,47,144,28,5,1,60,12,,16,,,3,13,,,140,William Edward
branski01,1907,1,PHI,NL,94,94,348,25,81,15,2,0,38,8,,14,,,0,9,,,94,William Edward
branski01,1908,1,PHI,NL,144,144,527,53,160,25,7,3,71,30,,23,,,2,16,,,144,William Edward
branski01,1909,1,PHI,NL,140,140,527,47,154,27,6,1,59,17,,18,,,3,22,,,140,William Edward
branski01,1910,1,PHI,NL,123,123,427,39,102,17,4,3,52,10,,20,34,,1,13,,,123,William Edward
branski01,1911,1,PHI,NL,23,23,43,4,11,1,1,0,3,1,,0,5,,0,1,,,23,William Edward
brantcl01,1991,1,PHI,NL,6,6,8,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,Clifford
brantcl01,1992,1,PHI,NL,28,28,14,1,3,0,1,0,1,0,0,1,4,0,0,7,0,0,28,Clifford
brantje01,1999,1,PHI,NL,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Jeffrey Hoke
brantje01,2000,1,PHI,NL,55,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Jeffrey Hoke
brantje01,2001,1,TEX,AL,18,0,,,,,,,,,,,,,,,,,18,Jeffrey Hoke
branyru01,2007,2,PHI,NL,7,7,9,2,2,0,0,2,5,0,0,0,6,0,0,0,0,0,7,Russell Oles
brashro01,1903,1,PHI,NL,20,20,75,9,17,3,0,0,4,2,,6,,,0,2,,,20,Roy Parks
braunjo01,1964,1,ML1,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,John Paul
braxtga01,1921,1,BSN,NL,17,17,7,0,0,0,0,0,0,0,0,0,6,,0,0,,,17,Edgar Garland
braxtga01,1922,1,BSN,NL,25,25,16,0,1,0,0,0,1,0,0,0,6,,0,3,,,25,Edgar Garland
braybi01,2006,1,WAS,NL,19,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,William Paul
